max capacitance

Pin                                    Limit     Cap   Slack
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[1]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[21]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[23]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[25]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[27]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[29]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[31]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[33]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[35]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[37]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[39]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[3]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[41]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[43]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[45]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[47]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[49]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[51]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[53]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[55]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[57]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[59]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[5]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[61]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[63]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[7]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[9]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[15]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[17]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[19]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[15]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[17]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[19]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[0]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[10]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[12]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[20]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[22]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[24]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[26]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[28]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[2]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[30]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[32]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[34]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[36]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[38]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[40]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[42]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[44]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[46]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[48]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[4]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[50]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[52]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[54]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[56]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[58]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[60]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[62]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[6]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[8]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[0]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[10]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[12]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[20]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[22]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[24]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[26]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[28]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[2]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[30]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[32]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[34]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[36]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[38]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[40]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[42]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[44]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[46]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[48]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[4]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[50]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[52]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[54]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[56]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[58]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[60]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[62]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[6]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[8]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[14]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[16]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[0].i_sram/gen_512x32xBx1.i_cut/A_DOUT[18]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[14]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[16]    0.00    0.00   -0.00 (VIOLATED)
i_croc_soc/i_croc/gen_sram_bank[1].i_sram/gen_512x32xBx1.i_cut/A_DOUT[18]    0.00    0.00   -0.00 (VIOLATED)

